Afghanistan,Khaled Hosseini,The Kite Runner
Afghanistan,Khaled Hosseini,A Thousand Splendid Suns
Afghanistan,Anna Badkhen,Waiting for the Taliban
Afghanistan,Emmanuel Guibert,The Photographer
Afghanistan,Batya Swift Yasgur,Behind the Burqa
Afghanistan,Atiq Rahimi,A Thousand Rooms of Dream and Fear
Afghanistan,Atiq Rahimi,The Patience Stone
Albania,Ismail Kadare,The Palace of Dreams
Albania,Fatos Kongoli,The Loser
Albania,Ismail Kadare,Broken April
Algeria,Leïla Marouane,The Sexual Life of an Islamist in Paris
Algeria,Anouar Benmalek,Abduction
Algeria,Assia Djebar,So Vast the Prison
Algeria,Boualem Sansal,An Unfinished Business
Algeria,Al-Tahir Wattar,The Earthquake
Algeria,Anouar Benmalek,The Lovers of Algeria
Algeria,Yasmina Khadra,The Attack
Andorra,Albert Salvadó,The Teacher of Cheops
Angola,José Eduardo Agualusa,My Father’s Wives
Angola,José Eduardo Agualusa,Creole
Angola,Pepetela,The Return of the Water Spirit
Angola,Ondjaki,Good Morning Comrades
Angola,Ondjaki,The Whistler
Angola,Jose Eduardo Agualusa,The Book of Chameleons
Antigua and Barbuda,Jamaica Kincaid,Lucy
Antigua and Barbuda,Jamaica Kincaid,Annie John
Antigua and Barbuda,Marie-Elena John,Unburnable
Antigua and Barbuda,Althea Prince,Loving this Man
Antigua and Barbuda,Althea Prince,Ladies of the Night
Antigua and Barbuda,Gisele Isaac,Considering Venus
Argentina,Martin Kohan,Seconds Out
Argentina,César Aira,How I Became a Nun
Argentina,César Aira,An Episode in the Life of a Landscape Painter
Argentina,Ernesto Sábato,The Tunnel
Argentina,Alicia Steimberg,Musicians and Watchmakers
Argentina,Jorges Luis Borges
Argentina,Tomás Eloy Martínez,Purgatory (trans. Frank Wynne)
Argentina,Matias Nespolo,7 Ways to Kill a Cat (trans. Frank Wynne)
Argentina,Carlos Gamerro,The Islands
Argentina,Iosi Havilio, Opendoor
Argentina,Luisa Valenzuela
Argentina,Ricardo Piglia
Argentina,Guillermo Martínez
Argentina,Manuel Puig
Argentina,Adolfo Bioy Casares,The Invention of Morel
Argentina,Julio Cortázar,Hopscotch
Armenia,Armand Inezian,Bringing Ararat
Armenia,Grigoris Balakian,Armenian Golgotha
Australia,Tim Winton,Cloudstreet
Australia,Helen Garner,The Children’s Bach
Australia,Markus Zusak,The Book Thief
Australia,Nam Le,The Boat
Australia,Andrew McGahan,The White Earth
Australia,Elizabeth Jolley
Australia,Alex Miller,Lovesong
Austria,Elias Canetti,The Torch in my Ear
Austria,Anna Kim,Frozen Time
Austria,Thomas Bernhard,Extinction
Austria,Stefan Zweig
Austria,Julya Rabinovich,Splithead
Azerbaijan,Gioulzar Akhmedova,Magnolia
Azerbaijan,Maksud Ibragimbekov
Azerbaijan,Anar Razayev
Azerbaijan,Ali and Nino
The Bahamas,Ian Strachan,God’s Angry Babies
The Bahamas,Garth Buckner,Thine is the Kingdom
Bahrain,Ali Al Saeed,Quixotiq
Bahrain,Sarah A Al Sahfei,Yummah
Bangladesh,Taslima Nasrin,Shame
Bangladesh,Shawkat Osman,The Laughter of a Slave
Bangladesh,Tahmima Anam,The Good Muslim
Bangladesh,Humayun Ahmed,To the Woods Dark and Deep
Bangladesh,Ekhlasuddin Ahmed,When the Evening Darkens
Bangladesh,Anwar Pasha,Rifles Bread Women
Barbados,Karen Lord,Redemption in Indigo
Barbados,Agymah Kamau,Flickering Shadows
Barbados,Agymah Kamau,Pictures of a Dying Man
Barbados,Glenville Lovell,Fire in the Canes
